query_protein,instance_type,ucf_json_file,ucf_object_index,ucf_record_type,gate_or_fragment_name,has_response_parameters,target_metric,target_metric_name,target_metric_source,derived_dynamic_range,derived_log10_on_off_ratio,ucf_param_ymax,ucf_param_ymin,ucf_param_K,ucf_param_n,ucf_param_a,ucf_param_b,ucf_param_alpha,ucf_param_beta,ucf_param_tau_on,ucf_param_tau_off
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,533,response_functions,Q1_QacR_a,1,118.96666666666668,on_off_ratio,derived_from_ymax_ymin,4.480374,2.0754252932359982,4.518354,0.03798,0.970389,4.3237,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,575,response_functions,Q1_QacR_b,1,118.96666666666668,on_off_ratio,derived_from_ymax_ymin,4.480374,2.0754252932359982,4.518354,0.03798,0.970389,4.3237,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\SC\SC1C1G1T1.UCF.json,261,gates,P1_QacR_a,0,,,not_found,,,,,,,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\SC\SC1C1G1T1.UCF.json,273,gates,P1_QacR_b,0,,,not_found,,,,,,,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\SC\SC1C1G1T1.UCF.json,295,response_functions,P1_QacR_a,1,1120.0,on_off_ratio,derived_from_ymax_ymin,2.2380000000000004,3.0492180226701815,2.24,0.002,0.19,3.36,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\SC\SC1C1G1T1.UCF.json,367,response_functions,P1_QacR_b,1,1.0,on_off_ratio,derived_from_ymax_ymin,0.0,0.0,0.01,0.01,1.0,1.0,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,384,models,Q1_QacR_model,1,240.0,on_off_ratio,derived_from_ymax_ymin,2.39,2.380211241711606,2.4,0.01,0.05,2.7,,,0.3748404992150903,0.43564010137683185,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,385,,q1_qacr,0,,,not_found,,,,,,,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,392,models,Q2_QacR_model,1,93.33333333333333,on_off_ratio,derived_from_ymax_ymin,2.77,1.9700367766225568,2.8,0.03,0.21,2.4,,,0.3748404992150903,0.43564010137683185,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,393,,q2_qacr,0,,,not_found,,,,,,,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco2C1G3T1.UCF.json,577,models,Q1_QacR_model,1,118.96666666666668,on_off_ratio,derived_from_ymax_ymin,4.480374,2.0754252932359982,4.518354,0.03798,0.970389,4.3237,,,,,,
